i_episode 133	reward_accu: 0 	action_length: 10
i_episode 134	reward_accu: 1 	action_length: 47
i_episode 135	reward_accu: 1 	action_length: 32
i_episode 136	reward_accu: 0 	action_length: 8
i_episode 137	reward_accu: 0 	action_length: 16
i_episode 138	reward_accu: 0 	action_length: 12
i_episode 139	reward_accu: 0 	action_length: 8
i_episode 140	reward_accu: 1 	action_length: 30
i_episode 141	reward_accu: 0 	action_length: 9
i_episode 142	reward_accu: 0 	action_length: 12
i_episode 143	reward_accu: 0 	action_length: 11
i_episode 144	reward_accu: 0 	action_length: 12
i_episode 145	reward_accu: 0 	action_length: 7
i_episode 146	reward_accu: 0 	action_length: 12
i_episode 147	reward_accu: 0 	action_length: 6
i_episode 148	reward_accu: 0 	action_length: 6
i_episode 149	reward_accu: 1 	action_length: 18
i_episode 150	reward_accu: 0 	action_length: 12
i_episode 151	reward_accu: 0 	action_length: 5
i_episode 152	reward_accu: 0 	action_length: 7
i_episode 153	reward_accu: 1 	action_length: 18
i_episode 154	reward_accu: 1 	action_length: 94
i_episode 155	reward_accu: 0 	action_length: 6
i_episode 156	reward_accu: 0 	action_length: 11
i_episode 157	reward_accu: 1 	action_length: 64
i_episode 158	reward_accu: 0 	action_length: 5
i_episode 159	reward_accu: 0 	action_length: 12
i_episode 160	reward_accu: 6 	action_length: 956
i_episode 161	reward_accu: 0 	action_length: 7
i_episode 162	reward_accu: 3 	action_length: 59
i_episode 163	reward_accu: 3 	action_length: 243
i_episode 164	reward_accu: 0 	action_length: 8
i_episode 165	reward_accu: 1 	action_length: 272
i_episode 166	reward_accu: 3 	action_length: 85
i_episode 167	reward_accu: 0 	action_length: 11
i_episode 168	reward_accu: 3 	action_length: 44
i_episode 169	reward_accu: 3 	action_length: 165
i_episode 170	reward_accu: 0 	action_length: 8
i_episode 171	reward_accu: 1 	action_length: 232
i_episode 172	reward_accu: 4 	action_length: 846
i_episode 173	reward_accu: 4 	action_length: 228
i_episode 174	reward_accu: 10 	action_length: 206
i_episode 175	reward_accu: 7 	action_length: 217
i_episode 176	reward_accu: 43 	action_length: 947
i_episode 177	reward_accu: 1 	action_length: 33
i_episode 178	reward_accu: 6 	action_length: 66
i_episode 179	reward_accu: 4 	action_length: 75
i_episode 180	reward_accu: 28 	action_length: 1761
i_episode 181	reward_accu: 28 	action_length: 337
i_episode 182	reward_accu: 72 	action_length: 964
i_episode 183	reward_accu: 72 	action_length: 743
i_episode 184	reward_accu: 72 	action_length: 646
i_episode 185	reward_accu: 72 	action_length: 558
i_episode 186	reward_accu: 72 	action_length: 538
i_episode 187	reward_accu: 72 	action_length: 820
i_episode 188	reward_accu: 72 	action_length: 571
i_episode 189	reward_accu: 72 	action_length: 520
i_episode 190	reward_accu: 10 	action_length: 117
i_episode 191	reward_accu: 72 	action_length: 542
i_episode 192	reward_accu: 72 	action_length: 548
i_episode 193	reward_accu: 72 	action_length: 539
i_episode 194	reward_accu: 72 	action_length: 508
i_episode 195	reward_accu: 72 	action_length: 527
i_episode 196	reward_accu: 72 	action_length: 514
i_episode 197	reward_accu: 72 	action_length: 814
i_episode 198	reward_accu: 72 	action_length: 533
i_episode 199	reward_accu: 72 	action_length: 534
i_episode 200	reward_accu: 72 	action_length: 561
i_episode 201	reward_accu: 72 	action_length: 537
i_episode 202	reward_accu: 72 	action_length: 500
i_episode 203	reward_accu: 72 	action_length: 519
i_episode 204	reward_accu: 72 	action_length: 498
i_episode 205	reward_accu: 72 	action_length: 517
i_episode 206	reward_accu: 72 	action_length: 504
i_episode 207	reward_accu: 72 	action_length: 499
i_episode 208	reward_accu: 72 	action_length: 527
i_episode 209	reward_accu: 72 	action_length: 546
i_episode 210	reward_accu: 72 	action_length: 517
i_episode 211	reward_accu: 72 	action_length: 542
i_episode 212	reward_accu: 72 	action_length: 505
i_episode 213	reward_accu: 72 	action_length: 512
i_episode 214	reward_accu: 72 	action_length: 509
i_episode 215	reward_accu: 72 	action_length: 521
i_episode 216	reward_accu: 72 	action_length: 546
i_episode 217	reward_accu: 72 	action_length: 544
i_episode 218	reward_accu: 72 	action_length: 532
i_episode 219	reward_accu: 72 	action_length: 513
i_episode 220	reward_accu: 72 	action_length: 518
i_episode 221	reward_accu: 72 	action_length: 498
i_episode 222	reward_accu: 72 	action_length: 540
i_episode 223	reward_accu: 72 	action_length: 526
i_episode 224	reward_accu: 72 	action_length: 532
i_episode 225	reward_accu: 72 	action_length: 520
i_episode 226	reward_accu: 72 	action_length: 549
i_episode 227	reward_accu: 72 	action_length: 512
i_episode 228	reward_accu: 72 	action_length: 484
i_episode 229	reward_accu: 72 	action_length: 527
i_episode 230	reward_accu: 72 	action_length: 526
i_episode 231	reward_accu: 72 	action_length: 528
i_episode 232	reward_accu: 72 	action_length: 526
